city,scenario,year,total_sea_level_cm
Atlantic City NJ,ssp126,2020,11.5
Atlantic City NJ,ssp126,2020,11.7
Atlantic City NJ,ssp126,2021,12.59
Atlantic City NJ,ssp126,2022,13.48
Atlantic City NJ,ssp126,2023,14.370000000000001
Atlantic City NJ,ssp126,2024,15.26
Atlantic City NJ,ssp126,2025,16.15
Atlantic City NJ,ssp126,2026,17.04
Atlantic City NJ,ssp126,2027,17.93
Atlantic City NJ,ssp126,2028,18.82
Atlantic City NJ,ssp126,2029,19.71
Atlantic City NJ,ssp126,2030,20.6
Atlantic City NJ,ssp126,2030,20.8
Atlantic City NJ,ssp126,2031,21.68
Atlantic City NJ,ssp126,2032,22.560000000000002
Atlantic City NJ,ssp126,2033,23.44
Atlantic City NJ,ssp126,2034,24.32
Atlantic City NJ,ssp126,2035,25.200000000000003
Atlantic City NJ,ssp126,2036,26.080000000000002
Atlantic City NJ,ssp126,2037,26.96
Atlantic City NJ,ssp126,2038,27.840000000000003
Atlantic City NJ,ssp126,2039,28.720000000000002
Atlantic City NJ,ssp126,2040,29.6
Atlantic City NJ,ssp126,2040,30.1
Atlantic City NJ,ssp126,2041,30.970000000000002
Atlantic City NJ,ssp126,2042,31.84
Atlantic City NJ,ssp126,2043,32.71
Atlantic City NJ,ssp126,2044,33.58
Atlantic City NJ,ssp126,2045,34.45
Atlantic City NJ,ssp126,2046,35.32
Atlantic City NJ,ssp126,2047,36.19
Atlantic City NJ,ssp126,2048,37.059999999999995
Atlantic City NJ,ssp126,2049,37.93
Atlantic City NJ,ssp126,2050,38.8
Atlantic City NJ,ssp126,2050,39.3
Atlantic City NJ,ssp126,2051,40.019999999999996
Atlantic City NJ,ssp126,2052,40.739999999999995
Atlantic City NJ,ssp126,2053,41.46
Atlantic City NJ,ssp126,2054,42.18
Atlantic City NJ,ssp126,2055,42.9
Atlantic City NJ,ssp126,2056,43.62
Atlantic City NJ,ssp126,2057,44.339999999999996
Atlantic City NJ,ssp126,2058,45.06
Atlantic City NJ,ssp126,2059,45.78
Atlantic City NJ,ssp126,2060,46.5
Atlantic City NJ,ssp126,2060,47.2
Atlantic City NJ,ssp126,2061,47.96
Atlantic City NJ,ssp126,2062,48.72
Atlantic City NJ,ssp126,2063,49.480000000000004
Atlantic City NJ,ssp126,2064,50.24
Atlantic City NJ,ssp126,2065,51.0
Atlantic City NJ,ssp126,2066,51.76
Atlantic City NJ,ssp126,2067,52.519999999999996
Atlantic City NJ,ssp126,2068,53.28
Atlantic City NJ,ssp126,2069,54.04
Atlantic City NJ,ssp126,2070,54.8
Atlantic City NJ,ssp126,2070,55.400000000000006
Atlantic City NJ,ssp126,2071,56.040000000000006
Atlantic City NJ,ssp126,2072,56.68000000000001
Atlantic City NJ,ssp126,2073,57.32
Atlantic City NJ,ssp126,2074,57.96
Atlantic City NJ,ssp126,2075,58.6
Atlantic City NJ,ssp126,2076,59.24
Atlantic City NJ,ssp126,2077,59.88
Atlantic City NJ,ssp126,2078,60.519999999999996
Atlantic City NJ,ssp126,2079,61.16
Atlantic City NJ,ssp126,2080,61.8
Atlantic City NJ,ssp126,2080,62.4
Atlantic City NJ,ssp126,2081,63.0
Atlantic City NJ,ssp126,2082,63.6
Atlantic City NJ,ssp126,2083,64.2
Atlantic City NJ,ssp126,2084,64.8
