city,year,segment,scenario,model,zos_raw,lat,lon
Miami FL,1850,historical_cmip6,historical,GFDL-ESM4,-0.23,25.77,-80.19
Miami FL,1851,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1852,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1853,historical_cmip6,historical,GFDL-ESM4,-0.23,25.77,-80.19
Miami FL,1854,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1855,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1856,historical_cmip6,historical,GFDL-ESM4,-0.27,25.77,-80.19
Miami FL,1857,historical_cmip6,historical,GFDL-ESM4,-0.23,25.77,-80.19
Miami FL,1858,historical_cmip6,historical,GFDL-ESM4,-0.22,25.77,-80.19
Miami FL,1859,historical_cmip6,historical,GFDL-ESM4,-0.22,25.77,-80.19
Miami FL,1860,historical_cmip6,historical,GFDL-ESM4,-0.23,25.77,-80.19
Miami FL,1861,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1862,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1863,historical_cmip6,historical,GFDL-ESM4,-0.21,25.77,-80.19
Miami FL,1864,historical_cmip6,historical,GFDL-ESM4,-0.26,25.77,-80.19
Miami FL,1865,historical_cmip6,historical,GFDL-ESM4,-0.26,25.77,-80.19
Miami FL,1866,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1867,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1868,historical_cmip6,historical,GFDL-ESM4,-0.26,25.77,-80.19
Miami FL,1869,historical_cmip6,historical,GFDL-ESM4,-0.27,25.77,-80.19
Miami FL,1870,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1871,historical_cmip6,historical,GFDL-ESM4,-0.23,25.77,-80.19
Miami FL,1872,historical_cmip6,historical,GFDL-ESM4,-0.26,25.77,-80.19
Miami FL,1873,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1874,historical_cmip6,historical,GFDL-ESM4,-0.26,25.77,-80.19
Miami FL,1875,historical_cmip6,historical,GFDL-ESM4,-0.26,25.77,-80.19
Miami FL,1876,historical_cmip6,historical,GFDL-ESM4,-0.27,25.77,-80.19
Miami FL,1877,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1878,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1879,historical_cmip6,historical,GFDL-ESM4,-0.23,25.77,-80.19
Miami FL,1880,historical_cmip6,historical,GFDL-ESM4,-0.23,25.77,-80.19
Miami FL,1881,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1882,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1883,historical_cmip6,historical,GFDL-ESM4,-0.26,25.77,-80.19
Miami FL,1884,historical_cmip6,historical,GFDL-ESM4,-0.22,25.77,-80.19
Miami FL,1885,historical_cmip6,historical,GFDL-ESM4,-0.23,25.77,-80.19
Miami FL,1886,historical_cmip6,historical,GFDL-ESM4,-0.23,25.77,-80.19
Miami FL,1887,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1888,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1889,historical_cmip6,historical,GFDL-ESM4,-0.23,25.77,-80.19
Miami FL,1890,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1891,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1892,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1893,historical_cmip6,historical,GFDL-ESM4,-0.27,25.77,-80.19
Miami FL,1894,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1895,historical_cmip6,historical,GFDL-ESM4,-0.23,25.77,-80.19
Miami FL,1896,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1897,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1898,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1899,historical_cmip6,historical,GFDL-ESM4,-0.23,25.77,-80.19
Miami FL,1900,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1901,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1902,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1903,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1904,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1905,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1906,historical_cmip6,historical,GFDL-ESM4,-0.26,25.77,-80.19
Miami FL,1907,historical_cmip6,historical,GFDL-ESM4,-0.26,25.77,-80.19
Miami FL,1908,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1909,historical_cmip6,historical,GFDL-ESM4,-0.23,25.77,-80.19
Miami FL,1910,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1911,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1912,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1913,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1914,historical_cmip6,historical,GFDL-ESM4,-0.23,25.77,-80.19
Miami FL,1915,historical_cmip6,historical,GFDL-ESM4,-0.23,25.77,-80.19
Miami FL,1916,historical_cmip6,historical,GFDL-ESM4,-0.23,25.77,-80.19
Miami FL,1917,historical_cmip6,historical,GFDL-ESM4,-0.22,25.77,-80.19
Miami FL,1918,historical_cmip6,historical,GFDL-ESM4,-0.26,25.77,-80.19
Miami FL,1919,historical_cmip6,historical,GFDL-ESM4,-0.27,25.77,-80.19
Miami FL,1920,historical_cmip6,historical,GFDL-ESM4,-0.26,25.77,-80.19
Miami FL,1921,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1922,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1923,historical_cmip6,historical,GFDL-ESM4,-0.27,25.77,-80.19
Miami FL,1924,historical_cmip6,historical,GFDL-ESM4,-0.26,25.77,-80.19
Miami FL,1925,historical_cmip6,historical,GFDL-ESM4,-0.29,25.77,-80.19
Miami FL,1926,historical_cmip6,historical,GFDL-ESM4,-0.28,25.77,-80.19
Miami FL,1927,historical_cmip6,historical,GFDL-ESM4,-0.27,25.77,-80.19
Miami FL,1928,historical_cmip6,historical,GFDL-ESM4,-0.27,25.77,-80.19
Miami FL,1929,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1930,historical_cmip6,historical,GFDL-ESM4,-0.27,25.77,-80.19
Miami FL,1931,historical_cmip6,historical,GFDL-ESM4,-0.28,25.77,-80.19
Miami FL,1932,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1933,historical_cmip6,historical,GFDL-ESM4,-0.26,25.77,-80.19
Miami FL,1934,historical_cmip6,historical,GFDL-ESM4,-0.22,25.77,-80.19
Miami FL,1935,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1936,historical_cmip6,historical,GFDL-ESM4,-0.27,25.77,-80.19
Miami FL,1937,historical_cmip6,historical,GFDL-ESM4,-0.25,25.77,-80.19
Miami FL,1938,historical_cmip6,historical,GFDL-ESM4,-0.23,25.77,-80.19
Miami FL,1939,historical_cmip6,historical,GFDL-ESM4,-0.23,25.77,-80.19
Miami FL,1940,historical_cmip6,historical,GFDL-ESM4,-0.27,25.77,-80.19
Miami FL,1941,historical_cmip6,historical,GFDL-ESM4,-0.26,25.77,-80.19
Miami FL,1942,historical_cmip6,historical,GFDL-ESM4,-0.27,25.77,-80.19
Miami FL,1943,historical_cmip6,historical,GFDL-ESM4,-0.28,25.77,-80.19
Miami FL,1944,historical_cmip6,historical,GFDL-ESM4,-0.29,25.77,-80.19
Miami FL,1945,historical_cmip6,historical,GFDL-ESM4,-0.27,25.77,-80.19
Miami FL,1946,historical_cmip6,historical,GFDL-ESM4,-0.24,25.77,-80.19
Miami FL,1947,historical_cmip6,historical,GFDL-ESM4,-0.26,25.77,-80.19
