city,year,segment,scenario,model,dynamic_slr_cm
Miami FL,2015,future_cmip6,ssp126,GFDL-ESM4,-0.24
Miami FL,2016,future_cmip6,ssp126,GFDL-ESM4,-0.22
Miami FL,2017,future_cmip6,ssp126,GFDL-ESM4,-0.21
Miami FL,2018,future_cmip6,ssp126,GFDL-ESM4,-0.22
Miami FL,2019,future_cmip6,ssp126,GFDL-ESM4,-0.23
Miami FL,2020,future_cmip6,ssp126,GFDL-ESM4,-0.23
Miami FL,2021,future_cmip6,ssp126,GFDL-ESM4,-0.24
Miami FL,2022,future_cmip6,ssp126,GFDL-ESM4,-0.21
Miami FL,2023,future_cmip6,ssp126,GFDL-ESM4,-0.23
Miami FL,2024,future_cmip6,ssp126,GFDL-ESM4,-0.23
Miami FL,2025,future_cmip6,ssp126,GFDL-ESM4,-0.22
Miami FL,2026,future_cmip6,ssp126,GFDL-ESM4,-0.23
Miami FL,2027,future_cmip6,ssp126,GFDL-ESM4,-0.23
Miami FL,2028,future_cmip6,ssp126,GFDL-ESM4,-0.24
Miami FL,2029,future_cmip6,ssp126,GFDL-ESM4,-0.23
Miami FL,2030,future_cmip6,ssp126,GFDL-ESM4,-0.23
Miami FL,2031,future_cmip6,ssp126,GFDL-ESM4,-0.23
Miami FL,2032,future_cmip6,ssp126,GFDL-ESM4,-0.23
Miami FL,2033,future_cmip6,ssp126,GFDL-ESM4,-0.2
Miami FL,2034,future_cmip6,ssp126,GFDL-ESM4,-0.2
Miami FL,2035,future_cmip6,ssp126,GFDL-ESM4,-0.21
Miami FL,2036,future_cmip6,ssp126,GFDL-ESM4,-0.2
Miami FL,2037,future_cmip6,ssp126,GFDL-ESM4,-0.2
Miami FL,2038,future_cmip6,ssp126,GFDL-ESM4,-0.21
Miami FL,2039,future_cmip6,ssp126,GFDL-ESM4,-0.21
Miami FL,2040,future_cmip6,ssp126,GFDL-ESM4,-0.2
Miami FL,2041,future_cmip6,ssp126,GFDL-ESM4,-0.17
Miami FL,2042,future_cmip6,ssp126,GFDL-ESM4,-0.18
Miami FL,2043,future_cmip6,ssp126,GFDL-ESM4,-0.19
Miami FL,2044,future_cmip6,ssp126,GFDL-ESM4,-0.19
Miami FL,2045,future_cmip6,ssp126,GFDL-ESM4,-0.19
Miami FL,2046,future_cmip6,ssp126,GFDL-ESM4,-0.2
Miami FL,2047,future_cmip6,ssp126,GFDL-ESM4,-0.19
Miami FL,2048,future_cmip6,ssp126,GFDL-ESM4,-0.18
Miami FL,2049,future_cmip6,ssp126,GFDL-ESM4,-0.17
Miami FL,2050,future_cmip6,ssp126,GFDL-ESM4,-0.19
Miami FL,2051,future_cmip6,ssp126,GFDL-ESM4,-0.18
Miami FL,2052,future_cmip6,ssp126,GFDL-ESM4,-0.2
Miami FL,2053,future_cmip6,ssp126,GFDL-ESM4,-0.16
Miami FL,2054,future_cmip6,ssp126,GFDL-ESM4,-0.18
Miami FL,2055,future_cmip6,ssp126,GFDL-ESM4,-0.18
Miami FL,2056,future_cmip6,ssp126,GFDL-ESM4,-0.18
Miami FL,2057,future_cmip6,ssp126,GFDL-ESM4,-0.17
Miami FL,2058,future_cmip6,ssp126,GFDL-ESM4,-0.17
Miami FL,2059,future_cmip6,ssp126,GFDL-ESM4,-0.19
Miami FL,2060,future_cmip6,ssp126,GFDL-ESM4,-0.18
Miami FL,2061,future_cmip6,ssp126,GFDL-ESM4,-0.18
Miami FL,2062,future_cmip6,ssp126,GFDL-ESM4,-0.17
Miami FL,2063,future_cmip6,ssp126,GFDL-ESM4,-0.16
