year,city,scenario,sea_level_cm,lat,lon
2020,Atlantic City NJ,ssp126,11.5,39.36,-74.43
2021,Atlantic City NJ,ssp126,12.39,39.36,-74.43
2022,Atlantic City NJ,ssp126,13.28,39.36,-74.43
2023,Atlantic City NJ,ssp126,14.17,39.36,-74.43
2024,Atlantic City NJ,ssp126,15.059999,39.36,-74.43
2025,Atlantic City NJ,ssp126,15.95,39.36,-74.43
2026,Atlantic City NJ,ssp126,16.84,39.36,-74.43
2027,Atlantic City NJ,ssp126,17.73,39.36,-74.43
2028,Atlantic City NJ,ssp126,18.619999,39.36,-74.43
2029,Atlantic City NJ,ssp126,19.51,39.36,-74.43
2030,Atlantic City NJ,ssp126,20.4,39.36,-74.43
2031,Atlantic City NJ,ssp126,21.279999,39.36,-74.43
2032,Atlantic City NJ,ssp126,22.16,39.36,-74.43
2033,Atlantic City NJ,ssp126,23.04,39.36,-74.43
2034,Atlantic City NJ,ssp126,23.92,39.36,-74.43
2035,Atlantic City NJ,ssp126,24.8,39.36,-74.43
2036,Atlantic City NJ,ssp126,25.68,39.36,-74.43
2037,Atlantic City NJ,ssp126,26.560001,39.36,-74.43
2038,Atlantic City NJ,ssp126,27.44,39.36,-74.43
2039,Atlantic City NJ,ssp126,28.32,39.36,-74.43
2040,Atlantic City NJ,ssp126,29.2,39.36,-74.43
2041,Atlantic City NJ,ssp126,30.1,39.36,-74.43
2042,Atlantic City NJ,ssp126,31.0,39.36,-74.43
2043,Atlantic City NJ,ssp126,31.900002,39.36,-74.43
2044,Atlantic City NJ,ssp126,32.8,39.36,-74.43
2045,Atlantic City NJ,ssp126,33.7,39.36,-74.43
2046,Atlantic City NJ,ssp126,34.600002,39.36,-74.43
2047,Atlantic City NJ,ssp126,35.5,39.36,-74.43
2048,Atlantic City NJ,ssp126,36.4,39.36,-74.43
2049,Atlantic City NJ,ssp126,37.3,39.36,-74.43
2050,Atlantic City NJ,ssp126,38.2,39.36,-74.43
2051,Atlantic City NJ,ssp126,38.93,39.36,-74.43
2052,Atlantic City NJ,ssp126,39.66,39.36,-74.43
