model,scenario,year,tas_c,anomaly
CESM2,historical,1850,14.0557,0.0304
CESM2,historical,1851,14.147,0.1217
CESM2,historical,1852,13.9846,-0.0407
CESM2,historical,1853,13.9875,-0.0378
CESM2,historical,1854,13.9497,-0.0756
CESM2,historical,1855,13.8035,-0.2218
CESM2,historical,1856,13.9299,-0.0954
CESM2,historical,1857,14.0245,-0.0008
CESM2,historical,1858,13.8952,-0.1301
CESM2,historical,1859,14.0494,0.0241
CESM2,historical,1860,14.163,0.1376
CESM2,historical,1861,14.0365,0.0112
CESM2,historical,1862,14.1845,0.1592
CESM2,historical,1863,14.1643,0.1389
CESM2,historical,1864,14.1508,0.1255
CESM2,historical,1865,14.0479,0.0226
CESM2,historical,1866,14.1333,0.108
CESM2,historical,1867,13.9872,-0.0381
CESM2,historical,1868,13.9296,-0.0957
CESM2,historical,1869,13.995,-0.0303
CESM2,historical,1870,13.9405,-0.0848
CESM2,historical,1871,13.9809,-0.0445
CESM2,historical,1872,14.2156,0.1903
CESM2,historical,1873,14.1745,0.1491
CESM2,historical,1874,13.9531,-0.0722
CESM2,historical,1875,14.0236,-0.0018
CESM2,historical,1876,13.9472,-0.0781
CESM2,historical,1877,14.0608,0.0355
CESM2,historical,1878,14.0833,0.058
CESM2,historical,1879,14.1434,0.1181
CESM2,historical,1880,14.2038,0.1784
CESM2,historical,1881,14.0603,0.035
CESM2,historical,1882,13.8148,-0.2105
CESM2,historical,1883,13.9984,-0.0269
CESM2,historical,1884,13.9359,-0.0894
CESM2,historical,1885,13.7839,-0.2414
CESM2,historical,1886,13.819,-0.2063
CESM2,historical,1887,13.9962,-0.0291
CESM2,historical,1888,14.0422,0.0169
CESM2,historical,1889,13.7805,-0.2448
CESM2,historical,1890,13.922,-0.1033
CESM2,historical,1891,14.1288,0.1034
CESM2,historical,1892,14.0441,0.0187
CESM2,historical,1893,14.0802,0.0549
CESM2,historical,1894,14.0896,0.0643
CESM2,historical,1895,14.0285,0.0032
CESM2,historical,1896,14.0352,0.0099
CESM2,historical,1897,14.0743,0.049
CESM2,historical,1898,14.1115,0.0862
CESM2,historical,1899,14.0902,0.0649
CESM2,historical,1900,14.1098,0.0845
CESM2,historical,1901,14.1146,0.0893
CESM2,historical,1902,14.1592,0.1339
CESM2,historical,1903,14.0787,0.0534
CESM2,historical,1904,14.199,0.1737
CESM2,historical,1905,14.075,0.0497
CESM2,historical,1906,14.1283,0.103
CESM2,historical,1907,14.0857,0.0603
CESM2,historical,1908,14.0067,-0.0186
CESM2,historical,1909,13.9974,-0.0279
CESM2,historical,1910,14.1266,0.1013
CESM2,historical,1911,14.1637,0.1384
CESM2,historical,1912,13.9222,-0.1031
CESM2,historical,1913,13.8998,-0.1255
CESM2,historical,1914,13.9506,-0.0747
CESM2,historical,1915,13.838,-0.1874
CESM2,historical,1916,13.9263,-0.099
CESM2,historical,1917,13.9988,-0.0265
CESM2,historical,1918,14.1063,0.081
CESM2,historical,1919,14.1508,0.1255
CESM2,historical,1920,14.0808,0.0555
CESM2,historical,1921,14.1311,0.1058
CESM2,historical,1922,14.1238,0.0984
CESM2,historical,1923,14.1899,0.1646
CESM2,historical,1924,14.1994,0.1741
CESM2,historical,1925,14.2741,0.2488
CESM2,historical,1926,14.1398,0.1145
CESM2,historical,1927,14.1931,0.1677
CESM2,historical,1928,14.3571,0.3318
CESM2,historical,1929,14.3538,0.3285
CESM2,historical,1930,14.324,0.2986
CESM2,historical,1931,14.0292,0.0039
CESM2,historical,1932,14.1863,0.161
CESM2,historical,1933,14.3542,0.3288
CESM2,historical,1934,14.3544,0.3291
CESM2,historical,1935,14.4571,0.4318
CESM2,historical,1936,14.3365,0.3112
CESM2,historical,1937,14.2982,0.2729
CESM2,historical,1938,14.1579,0.1326
CESM2,historical,1939,14.1906,0.1653
CESM2,historical,1940,14.3436,0.3183
CESM2,historical,1941,14.1147,0.0894
CESM2,historical,1942,14.2957,0.2704
CESM2,historical,1943,14.2184,0.1931
CESM2,historical,1944,14.1637,0.1384
CESM2,historical,1945,14.2167,0.1914
CESM2,historical,1946,14.325,0.2996
CESM2,historical,1947,14.0284,0.0031
CESM2,historical,1948,13.8744,-0.1509
CESM2,historical,1949,14.168,0.1427
CESM2,historical,1950,14.099,0.0737
CESM2,historical,1951,14.199,0.1737
CESM2,historical,1952,14.2972,0.2719
CESM2,historical,1953,14.2959,0.2706
CESM2,historical,1954,14.0617,0.0363
CESM2,historical,1955,14.3141,0.2887
CESM2,historical,1956,14.1754,0.1501
CESM2,historical,1957,14.0325,0.0072
CESM2,historical,1958,14.2742,0.2488
CESM2,historical,1959,14.3989,0.3736
CESM2,historical,1960,14.1125,0.0871
CESM2,historical,1961,14.0747,0.0494
CESM2,historical,1962,14.1363,0.111
CESM2,historical,1963,14.0874,0.0621
CESM2,historical,1964,14.1574,0.1321
CESM2,historical,1965,14.0897,0.0644
CESM2,historical,1966,13.9658,-0.0595
CESM2,historical,1967,14.0179,-0.0074
CESM2,historical,1968,13.9617,-0.0636
CESM2,historical,1969,13.999,-0.0263
CESM2,historical,1970,14.1675,0.1422
CESM2,historical,1971,14.426,0.4006
CESM2,historical,1972,14.2228,0.1975
CESM2,historical,1973,14.092,0.0667
CESM2,historical,1974,14.1841,0.1587
CESM2,historical,1975,14.1409,0.1156
CESM2,historical,1976,14.2578,0.2325
CESM2,historical,1977,14.3088,0.2835
CESM2,historical,1978,14.1757,0.1504
CESM2,historical,1979,14.342,0.3167
CESM2,historical,1980,14.2762,0.2509
CESM2,historical,1981,14.3346,0.3093
CESM2,historical,1982,14.3176,0.2923
CESM2,historical,1983,14.287,0.2617
CESM2,historical,1984,14.3746,0.3493
CESM2,historical,1985,14.3361,0.3108
CESM2,historical,1986,14.3655,0.3402
CESM2,historical,1987,14.5323,0.5069
CESM2,historical,1988,14.5294,0.5041
CESM2,historical,1989,14.4993,0.4739
CESM2,historical,1990,14.5541,0.5288
CESM2,historical,1991,14.6411,0.6158
CESM2,historical,1992,14.2537,0.2284
CESM2,historical,1993,14.5182,0.4929
CESM2,historical,1994,14.4382,0.4128
CESM2,historical,1995,14.3452,0.3199
CESM2,historical,1996,14.4924,0.4671
CESM2,historical,1997,14.7073,0.682
CESM2,historical,1998,14.6284,0.6031
CESM2,historical,1999,14.598,0.5727
CESM2,historical,2000,14.7338,0.7085
CESM2,historical,2001,14.8813,0.8559
CESM2,historical,2002,14.9556,0.9302
CESM2,historical,2003,14.8831,0.8577
CESM2,historical,2004,14.8922,0.8669
CESM2,historical,2005,14.8925,0.8672
CESM2,historical,2006,15.0169,0.9916
CESM2,historical,2007,15.1185,1.0932
CESM2,historical,2008,14.8988,0.8734
CESM2,historical,2009,14.8818,0.8564
CESM2,historical,2010,14.9465,0.9212
CESM2,historical,2011,15.0585,1.0332
CESM2,historical,2012,15.2362,1.2108
CESM2,historical,2013,15.1534,1.128
CESM2,historical,2014,14.9955,0.9702
CESM2,ssp126,2015,15.13,1.1047
CESM2,ssp126,2016,15.0444,1.0191
CESM2,ssp126,2017,15.0126,0.9873
CESM2,ssp126,2018,15.1594,1.1341
CESM2,ssp126,2019,15.3527,1.3274
CESM2,ssp126,2020,15.1522,1.1268
CESM2,ssp126,2021,15.0655,1.0402
CESM2,ssp126,2022,15.1589,1.1336
CESM2,ssp126,2023,15.3171,1.2917
CESM2,ssp126,2024,15.39,1.3646
CESM2,ssp126,2025,15.4017,1.3764
CESM2,ssp126,2026,15.4569,1.4316
CESM2,ssp126,2027,15.5896,1.5643
CESM2,ssp126,2028,15.6147,1.5894
CESM2,ssp126,2029,15.8379,1.8126
CESM2,ssp126,2030,15.7074,1.6821
CESM2,ssp126,2031,15.6072,1.5819
CESM2,ssp126,2032,15.761,1.7357
CESM2,ssp126,2033,15.9585,1.9332
CESM2,ssp126,2034,15.7297,1.7044
CESM2,ssp126,2035,15.9021,1.8768
CESM2,ssp126,2036,15.9007,1.8754
CESM2,ssp126,2037,15.8293,1.8039
CESM2,ssp126,2038,15.9846,1.9593
CESM2,ssp126,2039,16.0432,2.0179
CESM2,ssp126,2040,15.9057,1.8804
CESM2,ssp126,2041,15.9801,1.9548
CESM2,ssp126,2042,15.9615,1.9361
CESM2,ssp126,2043,15.8242,1.7989
CESM2,ssp126,2044,15.7753,1.7499
CESM2,ssp126,2045,15.9908,1.9655
CESM2,ssp126,2046,16.0451,2.0198
CESM2,ssp126,2047,16.0039,1.9786
CESM2,ssp126,2048,16.2241,2.1988
CESM2,ssp126,2049,16.3389,2.3135
CESM2,ssp126,2050,16.1725,2.1472
CESM2,ssp126,2051,16.0459,2.0206
CESM2,ssp126,2052,16.0835,2.0581
CESM2,ssp126,2053,16.0682,2.0429
CESM2,ssp126,2054,16.08,2.0547
CESM2,ssp126,2055,16.1122,2.0869
CESM2,ssp126,2056,16.0116,1.9863
CESM2,ssp126,2057,16.0493,2.024
CESM2,ssp126,2058,15.9356,1.9103
CESM2,ssp126,2059,16.0825,2.0572
CESM2,ssp126,2060,16.046,2.0206
CESM2,ssp126,2061,16.0973,2.0719
CESM2,ssp126,2062,15.9744,1.9491
CESM2,ssp126,2063,16.1668,2.1415
CESM2,ssp126,2064,16.2361,2.2107
CESM2,ssp126,2065,16.2855,2.2602
CESM2,ssp126,2066,16.1133,2.088
CESM2,ssp126,2067,16.2839,2.2586
CESM2,ssp126,2068,16.2203,2.195
CESM2,ssp126,2069,16.1872,2.1618
