year,co2_ssp126,co2_ssp245,co2_ssp370,co2_ssp585
2015,399.9491551717122,399.94909922281903,399.9484380086263,399.9487864176433
2016,403.1169611612956,403.11696370442706,403.1169662475586,403.11696370442706
2017,405.7519607543946,405.7619603474934,405.8129628499349,405.79396057128906
2018,408.5919596354167,408.63196563720703,408.8319574991862,408.7599639892578
2019,411.4169642130534,411.50596618652344,411.9459609985352,411.7899602254232
2020,414.2319615681966,414.3899637858073,415.1549555460612,414.8909632364909
2021,417.0419642130534,417.2869567871094,418.4609603881836,418.06495666503906
2022,419.80896250406903,420.19796498616535,421.8429590861003,421.33495839436847
2023,422.4989700317383,423.1249593098958,425.2829564412434,424.720952351888
2024,425.1199645996094,426.0689595540365,428.7839533487956,428.21995544433594
2025,427.6739654541016,429.0299580891927,432.3469518025716,431.82995859781903
2026,430.1659596761067,432.0109608968099,435.9749501546224,435.5499547322591
2027,432.5979639689128,435.0119603474934,439.6699473063151,439.37795003255206
2028,434.9739685058594,438.0329564412434,443.43195088704425,443.31495157877606
2029,437.29496510823566,441.0769577026367,447.262944539388,447.36094665527344
2030,439.56396484375,444.14295959472656,451.1639506022136,451.51494852701825
2031,441.78096262613934,447.2319590250651,455.1359507242839,455.7789484659831
2032,443.92896779378253,450.3329544067383,459.1659469604492,460.163948059082
2033,445.9899622599284,453.4349543253581,463.2419459025066,464.6819483439128
2034,447.9689636230469,456.5409622192383,467.36494700113934,469.33094533284503
2035,449.8659693400066,459.6519597371419,471.53894297281903,474.1119384765625
2036,451.6849695841471,462.7699559529622,475.76494852701825,479.02494049072266
2037,453.42596944173175,465.8969548543294,480.0449447631836,484.0719375610352
2038,455.0919698079427,469.032958984375,484.3799463907878,489.2519353230794
2039,456.683967590332,472.1789576212566,488.7719421386719,494.5669352213542
2040,458.20097096761066,475.3359603881836,493.220942179362,500.0189310709635
2041,459.64697265625,478.5039571126302,497.73093668619794,505.60793050130206
2042,461.0189743041992,481.6739552815755,502.2919464111328,511.34192657470703
2043,462.3149693806966,484.83795674641925,506.9009424845378,517.2279256184896
2044,463.5359725952149,487.9959538777669,511.5569458007813,523.2669321695963
2045,464.68297322591144,491.1499506632487,516.2639414469401,529.4599202473959
2046,465.7549794514974,494.29995981852215,521.0209401448568,535.8089345296224
2047,466.7529780069987,497.4469579060872,525.8299357096354,542.3139139811198
2048,467.6779810587566,500.5919545491536,530.6919352213541,548.9769185384115
2049,468.5299809773763,503.7339579264323,535.6089426676432,555.7999216715494
2050,469.3099772135417,506.8749542236328,540.5809377034506,562.783925374349
2051,470.01897684733075,510.0139516194661,545.6099395751953,569.9299163818359
2052,470.6629842122395,513.1369603474935,550.6909383138021,577.2579091389974
2053,471.24998474121094,516.2299601236979,555.8219350179037,584.7839202880859
2054,471.7789840698242,519.2919565836588,561.0039265950521,592.5069071451823
2055,472.250981648763,522.3259582519531,566.2389373779297,600.4289093017578
2056,472.6649856567383,525.3319600423177,571.5259399414062,608.5499013264974
2057,473.02198282877606,528.3099568684896,576.867919921875,616.8699035644531
2058,473.32198842366535,531.2609608968099,582.2659403483073,625.3909047444662
2059,473.56398518880206,534.1859588623047,587.7189381917318,634.1138865152994
2060,473.74998728434247,537.0849558512369,593.2299397786459,643.0408986409506
2061,473.8779856363933,539.9579620361328,598.7979329427084,652.1719004313151
2062,473.958989461263,542.7949523925781,604.4239349365234,661.5069071451823
2063,473.9989878336589,545.5869496663412,610.1069386800131,671.0448862711588
