year,lat_band,temp_ssp126,temp_ssp245,temp_ssp370,temp_ssp585
2015,0°–30°N,-0.0049,0.0539,-0.0194,0.0316
2015,30°N–60°N,-0.0616,0.0377,0.0882,-0.0852
2015,30°S–0°,0.0132,0.0515,0.0208,-0.0349
2015,60°N–90°N,-0.0941,-0.0603,-0.0216,0.2338
2015,60°S–30°S,0.0017,-0.0457,-0.0404,-0.0413
2015,90°S–60°S,0.1459,0.0102,0.0505,-0.1236
2016,0°–30°N,0.0065,0.0626,0.0138,-0.0784
2016,30°N–60°N,-0.0734,0.0086,0.0572,-0.0516
2016,30°S–0°,0.0321,0.0813,0.0445,-0.1241
2016,60°N–90°N,0.1179,-0.0727,0.0214,0.201
2016,60°S–30°S,0.0017,-0.0373,-0.0275,-0.033
2016,90°S–60°S,0.0958,0.0572,-0.0329,-0.1222
2017,0°–30°N,0.0278,-0.0047,0.0426,-0.0295
2017,30°N–60°N,-0.0491,-0.0223,0.0416,-0.0414
2017,30°S–0°,0.0376,0.0023,0.0387,-0.0629
2017,60°N–90°N,-0.0418,-0.0115,0.0631,0.0479
2017,60°S–30°S,-0.0059,-0.0096,-0.0171,-0.0058
2017,90°S–60°S,-0.0117,-0.008,-0.0762,0.0124
2018,0°–30°N,-0.0228,-0.0343,-0.0284,-0.0128
2018,30°N–60°N,0.0365,-0.0096,-0.0468,-0.0176
2018,30°S–0°,-0.0502,-0.074,-0.078,0.0244
2018,60°N–90°N,0.0791,-0.0717,-0.1208,-0.0379
2018,60°S–30°S,0.0063,0.0205,0.0182,0.013
2018,90°S–60°S,-0.1685,0.0551,0.0171,-0.0429
2019,0°–30°N,-0.0294,0.0509,-0.0493,-0.0361
2019,30°N–60°N,0.0434,-0.0333,-0.0778,0.1073
2019,30°S–0°,-0.0892,0.0337,-0.0883,0.0198
2019,60°N–90°N,0.0273,-0.1033,-0.1452,0.0957
2019,60°S–30°S,0.0124,0.0469,0.0529,0.0394
2019,90°S–60°S,0.0481,0.0001,0.029,0.19
2020,0°–30°N,0.0425,0.0655,0.0333,0.0456
2020,30°N–60°N,0.0378,-0.0858,-0.0759,0.1729
2020,30°S–0°,-0.0556,0.0491,0.0471,0.0884
2020,60°N–90°N,0.1294,-0.0791,-0.2899,0.3262
2020,60°S–30°S,0.0336,0.0675,0.0687,0.0622
2020,90°S–60°S,0.2255,0.1241,0.124,0.2648
2021,0°–30°N,0.0829,0.1053,0.08,0.1625
2021,30°N–60°N,0.1303,-0.0354,-0.0217,0.2038
2021,30°S–0°,-0.0629,0.1081,0.1321,0.1942
2021,60°N–90°N,0.0893,0.0377,-0.125,0.3709
2021,60°S–30°S,0.0688,0.1006,0.0739,0.096
2021,90°S–60°S,0.2904,0.2301,0.2337,0.2526
2022,0°–30°N,0.0916,0.2108,0.0851,0.2113
2022,30°N–60°N,0.2132,0.0574,0.0294,0.2126
2022,30°S–0°,-0.0963,0.2407,0.1768,0.2261
2022,60°N–90°N,0.3594,0.1853,-0.1313,0.6759
2022,60°S–30°S,0.1178,0.1084,0.0859,0.1144
2022,90°S–60°S,0.4829,0.3291,0.3318,0.1973
2023,0°–30°N,0.226,0.263,0.152,0.2136
2023,30°N–60°N,0.1697,0.1472,0.1223,0.173
2023,30°S–0°,0.001,0.2884,0.2388,0.1964
2023,60°N–90°N,0.4976,0.4125,0.1583,0.8099
2023,60°S–30°S,0.1668,0.1181,0.0837,0.156
2023,90°S–60°S,0.6326,0.48,0.2744,0.2252
2024,0°–30°N,0.3169,0.2953,0.2638,0.21
2024,30°N–60°N,0.2317,0.2476,0.1411,0.1755
2024,30°S–0°,0.1861,0.3111,0.3554,0.1777
2024,60°N–90°N,0.6504,0.7029,0.388,0.7442
2024,60°S–30°S,0.2085,0.1334,0.0656,0.1559
2024,90°S–60°S,0.6242,0.5926,0.2212,0.1554
2025,0°–30°N,0.3326,0.3465,0.2565,0.2249
2025,30°N–60°N,0.3445,0.3691,0.2485,0.2701
2025,30°S–0°,0.1916,0.4003,0.3243,0.1589
2025,60°N–90°N,0.5549,1.0701,1.0571,0.5636
2025,60°S–30°S,0.2478,0.1445,0.0638,0.1784
2025,90°S–60°S,0.6828,0.6073,0.0342,0.2893
2026,0°–30°N,0.3838,0.356,0.2318,0.284
2026,30°N–60°N,0.3311,0.4177,0.2758,0.3236
2026,30°S–0°,0.2706,0.3815,0.236,0.2115
2026,60°N–90°N,0.6791,1.4419,1.0705,0.6063
2026,60°S–30°S,0.2897,0.1507,0.0821,0.18
2026,90°S–60°S,0.7153,0.4662,-0.1235,0.4981
2027,0°–30°N,0.4087,0.342,0.2274,0.2688
2027,30°N–60°N,0.3439,0.4662,0.2494,0.4659
2027,30°S–0°,0.3069,0.3284,0.1736,0.1642
2027,60°N–90°N,0.6032,1.6604,1.1609,0.7338
2027,60°S–30°S,0.3214,0.1546,0.1075,0.1805
2027,90°S–60°S,0.7848,0.6478,-0.123,0.7645
2028,0°–30°N,0.3927,0.3711,0.2182,0.2889
2028,30°N–60°N,0.3625,0.3948,0.3167,0.6187
2028,30°S–0°,0.294,0.3479,0.1394,0.1239
2028,60°N–90°N,0.4605,1.877,0.9663,0.8955
2028,60°S–30°S,0.3359,0.187,0.144,0.2031
2028,90°S–60°S,0.8295,0.5096,-0.039,0.8918
2029,0°–30°N,0.4065,0.3927,0.199,0.3749
2029,30°N–60°N,0.3313,0.4884,0.3802,0.7056
2029,30°S–0°,0.2795,0.3698,0.1106,0.1662
2029,60°N–90°N,0.4466,2.1129,0.8832,0.9607
2029,60°S–30°S,0.3656,0.1976,0.1991,0.2553
2029,90°S–60°S,0.8796,0.4845,0.0405,0.9435
2030,0°–30°N,0.3683,0.394,0.2065,0.5009
2030,30°N–60°N,0.3607,0.5679,0.3731,0.7592
2030,30°S–0°,0.252,0.3412,0.1293,0.286
2030,60°N–90°N,0.511,2.1444,0.7217,1.171
2030,60°S–30°S,0.3923,0.218,0.2526,0.28
2030,90°S–60°S,0.8562,0.4367,0.2792,1.003
2031,0°–30°N,0.3509,0.3721,0.2031,0.5939
